mutant1,mutant2,template,passed_test,diff_locations,explored_diffs,elapsed_time
parSeq__in_231.xml,parSeq__from_medium_slave17.xml,Template4,FAILED,5,4,7
parSeq__from_medium_slave17.xml,parSeq__in_231.xml,Template2,FAILED,5,2,10
parSeq__in_231.xml,parSeq__data34.xml,Template5,FAILED,5,3,7
parSeq__data34.xml,parSeq__in_231.xml,Template4,FAILED,5,1,8
parSeq__in_231.xml,delSync__data21.xml,Template5,FAILED,5,5,7
delSync__data21.xml,parSeq__in_231.xml,Template4,FAILED,5,1,12
parSeq__in_231.xml,commLoc_0.xml,Template1,PASSED,1,1,14
commLoc_0.xml,parSeq__in_231.xml,Template3,FAILED,3,1,12
urgLoc_7.xml,parSeq__in_231.xml,Template3,FAILED,3,1,7
parSeq__in_231.xml,urgLoc_7.xml,Template2,PASSED,3,3,7
parSeq__in_231.xml,parSeq__from_medium_slave27.xml,Template4,FAILED,5,2,6
parSeq__from_medium_slave27.xml,parSeq__in_231.xml,Template2,FAILED,5,3,9
urgLoc_0.xml,parSeq__in_231.xml,Template2,FAILED,3,1,6
parSeq__in_231.xml,urgLoc_0.xml,Template2,PASSED,3,3,6
parSeq__in_231.xml,delSync__from_medium_slave24.xml,Template02,FAILED,5,5,7
delSync__from_medium_slave24.xml,parSeq__in_231.xml,Template4,FAILED,5,2,13
parSeq__in_231.xml,MaskVarClock_clock_c3_Template.xml,Template1,PASSED,3,3,11
MaskVarClock_clock_c3_Template.xml,parSeq__in_231.xml,Template3,FAILED,3,1,13
parSeq__in_231.xml,parSeq__from_medium_slave14.xml,Template6,FAILED,6,1,12
parSeq__from_medium_slave14.xml,parSeq__in_231.xml,Template5,FAILED,6,5,6
parSeq__in_231.xml,parSeq__data23.xml,Template5,FAILED,5,2,11
parSeq__data23.xml,parSeq__in_231.xml,Template4,FAILED,5,1,10
parSeq__in_231.xml,parSeq__from_medium_slave20.xml,Template02,FAILED,5,3,11
parSeq__from_medium_slave20.xml,parSeq__in_231.xml,Template5,FAILED,5,1,11
parSeq__in_231.xml,parSeq__to_medium_slave5.xml,Template03,FAILED,6,1,9
parSeq__to_medium_slave5.xml,parSeq__in_231.xml,Template02,FAILED,6,2,11
parSeq__in_231.xml,urgChan__data2.xml,Template3,PASSED,3,3,6
urgChan__data2.xml,parSeq__in_231.xml,Template2,FAILED,3,2,8
